disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),28.88,38,2024,https://datos.rosario.gob.ar/territorio/ambiente/calidad-ambiental/aire,"Dióxido de Nitrógeno (NO2): es un gas de color marrón rojizo que por lo general se libera con la combustión de combustibles en procesos de calefacción, transporte, industria y generación de energía. Se utiliza como indicador de este contaminante el promedio anual de todas las mediciones realizadas en un período de 30 días durante el año analizado y se toma como referencia el valor límite 40 µg/m3 (promedio anual), establecido por la Comunidad Europea. Desde el año 2004, mediante un convenio realizado con la Universidad Tecnológica Nacional- Facultad Regional Rosario (UTN - FRRo), se monitorea este contaminante a través de muestreos pasivos. Se comenzó con trece (13) estaciones de muestreos y en la actualidad, existen treinta y ocho (38) estaciones distribuidas en la ciudad."
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: NOx Período Corto (promedio anual) (ug/m3),145.36,46,2024,https://datos.rosario.gob.ar/territorio/ambiente/calidad-ambiental/aire," Óxidos de Nitrógeno (NOx): Los óxidos de nitrógeno son una mezcla de gases compuestos de nitrógeno y oxígeno. El término NOx hace referencia a la combinación de monóxido de nitrógeno (NO) y el dióxido de nitrógeno (NO2) ya que son los óxidos de nitrógeno más importantes desde el punto de vista toxicológico; ninguno de los dos son inflamables y son incoloros a pardo en apariencia a temperatura ambiente. Son liberados al aire por procesos del transporte y de combustión. Se utiliza como indicador de este contaminante el promedio anual de todas las mediciones realizadas en un período de 20 minutos durante el año analizado y se toma como referencia el valor límite de 400 µg/m3, establecido por la Ordenanza No. 5820/1994. Al igual que en los casos anteriores, las mediciones se realizan mediante un convenio realizado con la UTN - FRRo, en el que se establece la realización de cinco (5) monitoreos de este contaminante por mes, en distintos puntos de la ciudad definidos por la DFA. También se promedian las mediciones en calidad de aire realizadas por las empresas que cuentan con programas de monitoreos de emisiones atmosféricas aprobados por la DFA. La cantidad de estaciones de monitoreo donde se mide este contaminante son 46 estaciones distintas de 76 mediciones."
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),18,1,2023,https://cetesb.sp.gov.br/ar/qualar/,
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),2,,2023,https://cetesb.sp.gov.br/ar/qualar,
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,"O município não possui estações de monitoramento de poluição do ar. O órgão ambiental (Secretaria Municipal de Meio Ambiente) tem solicitado, nos procedimentos de Licenciamento Ambiental, Relatórios de Análise para Emissões oriundas de fontes fixas, entretanto não existe uma compilação destes dados."
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.6,6,2024,not available\n,"This is the Annual Weighted Mean. The maximum 3-year Design Value for the AAMN is 7.7, the NAAQS is 9.0."
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),43.3,3,2024,not available,"This is the Annual 98th Percentile. The maximum Design Value for the AAMN is 43, the NAAQS is 100."
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),42,,2024,not avalable,"42 Days (2 days for PM2.5, 19 days for PM10, 21 day for O3)"
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: Particulate Matter PM10 concentration (annual average) level (ug/m3),9.3,6,2024,not available,"This is the Annual Estimated Days > Standard. The Maximum 3-year Design Value is 7.5 for the AAMN, the NAAQS is 1."
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: CO concentration (annual average) level (ppm),2.9,2,2024,not available,"4.7 is the Maximum 3-year Design Value for the AAMN, the NAAQS is 35. "
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: O3 concentration (annual average) level (ppm),0.076,4,2024,not available,"This is the Annual 4th Maximum. The maximum Design Value for the AAMN is 0.073, the NAAQS is 0.070."
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: SO2 concentration (annual average) level (ppb),2.7,2,2024,not available,"This is the Annual 99th Percentile. The maximum Design Value for the AAMN is 2, the NAAQS is 75.\n"
2025 Disclosure Cycle,779465,CDP,50550,"City of Buffalo, NY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),125,,2024,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report,"124 days in moderate, 1 day in unhealthy for sensitive groups. "
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.2,3,2021,https://www.airqualityontario.com/aqhi/today.php?sites=29000,"The City of Hamilton has one of the most extensive air quality monitoring networks in Canada. In total it has 3 Ministry of Environment, Conservation and Parks (MECP) air quality monitors including one on the mountain, one near downtown and the third in the west end of Hamilton, 2 Public Health portable monitoring stations and 15 monitoring stations surrounding the industrial core area of Hamilton. This PM2.5 measurement of 8.2 parts per million is based on the current MECP air quality monitoring station for downtown Hamilton and reflects the annual average for 2021."
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,"Other air pollution metric: Suspended Particulate Matter, PM10, PM2.5, Sulphur Dioxide, Nitrogen Dioxide, Ground Level Ozone, Benzene and Benzo(a)pyrene",,20.0,2022.0,https://pub-hamilton.escribemeetings.com/filestream.ashx?DocumentId=353788; https://cleanairhamilton.ca/annual-reports/; http://www.hamnair.ca/Hamilton-Air-Quality-Monitoring-Network.aspx; http://www.hamnair.ca/uploads/HAMN-2021-Annual-Air-Quality-Monitoring-Report.pdf,"City of Hamilton has one of the most extensive air quality monitoring networks in Canada. In total it has 3 Ministry of Environment, Conservation and Parks (MECP) air quality monitors including one on the mountain, one near downtown and the third in the west end of Hamilton, 2 Public Health portable monitoring stations and 15 monitoring stations surrounding the industrial core area of Hamilton. All these stations measure a variety of Criteria Air Contaminants including Suspended Particulate Matter, PM10, PM2.5, Sulphur Dioxide, Nitrogen Dioxide, Ground Level Ozone, Benzene and Benzo(a)pyrene. Many of these pollutants are measured in real-time continuously while others such as Benzo(a)pyrene are required to be measured non-continuously. Links to all of these monitoring stations have been provided above. A summary of the monitoring activities is submitted annually to City of Hamilton Board Health and the public through Clean Air Hamilton's Annual Progress Report. The most recent 2021 Progress report can be found here: https://pub-hamilton.escribemeetings.com/filestream.ashx?DocumentId=353788 "
2025 Disclosure Cycle,779465,CDP,50579,"City of Winnipeg, MB",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7,1,2024,Internal data collection process was stopped due to data issues. This data comes from https://www.aqi.in/ca/dashboard/canada/manitoba/winnipeg,Data does not include decimal place. That's too bad.
2025 Disclosure Cycle,779465,CDP,50673,Municipality of Faro,City,Europe,Portugal,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),3.87,1,2022,https://qualar.apambiente.pt/node/indice-qualar,Dados oficiais da Agência Portuguesa do Ambiente\n
2025 Disclosure Cycle,779465,CDP,51075,City of Shenzhen,City,China,China,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17,83,2024,https://www.sz.gov.cn/zfgb/2025/gb1376/content/post_12248803.html,None
2025 Disclosure Cycle,779465,CDP,51075,City of Shenzhen,City,China,China,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),19,83,2024,https://www.sz.gov.cn/zfgb/2025/gb1376/content/post_12248803.html,
2025 Disclosure Cycle,779465,CDP,52896,"City of Fort Lauderdale, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,N/A
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),1,,2024,https://www.airqualityontario.com/aqhi/advisories.php?utm_source=chatgpt.com,
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),4.25,1,2024,"PM2.5 For Kingston, Ontario sourced from: https://www.airqualityontario.com/history/index.php?utm_source=chatgpt.com",
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),8.74,1,2024,"NO2 For Kingston, Ontario sourced from: https://www.airqualityontario.com/history/index.php?utm_source=chatgpt.com",
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: Ground-level ozone (O3) concentration (annual average) level (ug/m3),54.9,1,2024,"O3 For Kingston, Ontario sourced from: https://www.airqualityontario.com/history/index.php?utm_source=chatgpt.com",
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),19.1,,2024,,"micrograms per cubic meter City mean; concentrations of grid cell values are averaged by block group. Spatial analysis across census block groups for City comes from a variety of sources:\n\nNW-AIRQUEST Regional Background Design \nValues, 2014-2017 (Hosted on Idaho Department \nof Environmental Quality's Webpage); \nWashington Ambient Air Monitoring Network, \nDepartment of Ecology; Air Emissions inventory, WA Department of Ecology, National Emissions Inventory, US EPA."
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Ozone,58.3,,2022,,"parts per billion City mean; concentrations of grid cell values are averaged by block group. Spatial analysis across census block groups for City comes from a variety of sources:\n\nNW-AIRQUEST Regional Background Design \nValues, 2014-2017 (Hosted on Idaho Department \nof Environmental Quality's Webpage); \nWashington Ambient Air Monitoring Network, \nDepartment of Ecology; Air Emissions inventory, WA Department of Ecology, National Emissions Inventory, US EPA."
2025 Disclosure Cycle,779465,CDP,54080,"City of Sunnyvale, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,54104,"City of Boulder, CO",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),41,,2024,https://raqc.org/current-8-hour-ozone-summary/,Days ozone exceeds EPA limits. Data from Regional Air Quality Council.
